listing_id,amen_balcony,amen_security,amen_covered_parking,amen_view_of_landmark,amen_shared_gym,amen_lobby_in_building,amen_central_a_c,amen_kitchen_appliances,amen_built_in_wardrobes,amen_shared_spa,amen_shared_pool,amen_walk_in_closet,amen_study,amen_children_s_pool,amen_view_of_water,amen_private_garden,amen_maids_room,amen_private_pool,amen_networked,amen_dining_in_building
RN3XEWR045Z67V2RFDVP4W0FA4,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
APQY3M72F3JFKCJGV795NX3PZM,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0
6M3ZKW4CX4B7HBC128M4GE4QQC,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0
JJ0AD7FDPVXW7T9TVRA84M570M,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0
NGJDVW77PRSR1Y5Z9026VP4K54,1,1,1,0,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0
21STQSG1HFAWXT2V8TVG3HHZP8,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0
AJ2RSF3K30TN0APPEP4VXXBNVG,1,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
2FWAGQ2KQQN9VSZZR66QKCES3W,1,1,1,0,1,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0
ZQPCZBW8GE1RZSSNNJM1AA6A70,1,1,1,1,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0
BC12ZGDPHBF6WAF7DMSJW936TC,1,1,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0
00NCPR422JNDM6D0MCYK9SYHRC,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8JPDEB2S8ESAP91D9YTDFG2CFR,1,1,1,0,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0
W3897X955SBMNX1AHFMK2P21HR,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,0,0,0
DQHZQVV5HG1RRE12VXVBHPWCJW,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
N48ADKS2XF285FDQM85V79D0BR,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,0,0,0
91AMW9SJJ1HBCXVT7EWS8MN830,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0
441Z83NC0CVZFQR9VPTHXTH1V4,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0
RV0EZXJ61B5Y491GRZ17SE4K80,1,1,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0
FK1QRESK59BRMTH3WTAJBRVWS4,1,1,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0
0WY55JCHNJSNFACXAV6EVQQF3R,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0
YPRT3WSPHQW9BW96BZ115J5NA4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
TSEMP5WR2S02FKQYA7BVYVMKKR,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0
8Q2N62PVPPNWMK9GEK74S4TV40,1,1,1,0,1,1,1,1,1,0,1,0,0,1,1,1,0,0,0,0
F7J2QZCJKZ8A80BC0B5YQ14SPG,1,1,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0
428VTA00QZFDSEZ7R3JAH984VC,1,1,1,1,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0
ZCBYPBQ0NC3ZH3Y50FPZXWHMT0,1,1,1,0,1,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0
